,model,accuracy,precision,recall,f1
0,LogisticRegression,0.8367797315037508,0.7027528969032605,0.5511560246494105,0.6177260874720132
1,KNeighborsClassifier,0.8196429375079772,0.645389665230111,0.5467286425424259,0.5919382582215015
2,SVC,0.8282011187936174,0.7540482644915961,0.4187018555737483,0.5383927549370123
3,KerasClassifier,0.8330945648487209,0.5381813458890549,0.5918161075284455,0.5932308293542246
